,level,exp,rocket,glider,friends,likes,GameTime,NumberOfAnnotatedGraffiti,totalAnnotatedGraffiti,Graffiti_avgt,NumberOfDialoguesActivated,totalAnnotatedDialogues,Dialogue_avgt,Age,Gender,Education,General engagement
211,0.0,0.112,0.0,0.0,0.0,-0.5865724381625441,0.39827742600007365,0.14285714285714285,0.4,2.2542939253658316,0.3380281690140845,-0.6,-0.6339257264658479,12,1.0,0.0,4.0
212,0.0,0.176,0.0,0.0,1.0,0.12014134275618374,0.4847629664004064,0.14285714285714285,0.6,0.794567731160017,1.8591549295774648,-0.6,-0.6339257264658479,12,0.0,0.0,2.0
213,0.0,0.496,0.0,0.0,1.0,0.4028268551236749,0.6343407827334108,-0.14285714285714285,0.0,1.1117373185117823,0.0,0.0,0.6416010658805456,12,0.0,0.0,3.0
214,1.0,-0.608,0.0,0.0,0.5,-0.2332155477031802,0.312671442592267,1.0,1.0,1.2177502251639096,-0.7887323943661971,-0.6,-0.6339257264658479,12,2.0,0.0,2.0
215,0.0,0.304,0.0,0.0,0.0,-0.5865724381625441,0.10244522009105923,0.5714285714285714,0.6,1.2817774233184278,0.39436619718309857,-0.6,-0.6339257264658479,12,2.0,0.0,3.0
216,0.0,0.56,0.0,0.0,1.0,0.2332155477031802,0.22939672794468413,0.2857142857142857,0.8,1.5245211127560232,-0.5070422535211268,-0.4,0.1523309830766568,12,2.0,0.0,4.0
217,0.0,-0.016,0.0,0.0,0.0,-0.5300353356890459,-0.4218588507303976,-0.2857142857142857,0.0,0.8241493181130646,-0.22535211267605634,-0.4,0.43787904161363167,12,2.0,0.0,4.0
218,0.0,0.688,0.0,0.0,1.0,0.12014134275618374,0.7963643305106588,0.14285714285714285,0.2,0.6895948870406378,0.056338028169014086,-0.6,-0.6339257264658479,12,0.0,0.0,2.0
219,0.0,-0.336,0.0,0.0,0.0,-0.5865724381625441,-0.10248609883047698,-0.2857142857142857,-0.2,-0.9523407111917871,-0.676056338028169,-0.6,-0.6339257264658479,11,0.0,0.0,4.0
220,1.0,0.928,0.0,0.0,0.5,0.784452296819788,0.5415714274435212,0.5714285714285714,0.6,0.7713807401089599,-0.5070422535211268,1.5,-0.0809908421316428,12,2.0,0.0,2.0
221,0.0,-0.272,0.0,0.0,1.0,0.12014134275618374,0.7082415744601442,-0.2857142857142857,-0.2,-0.09689904222737948,-0.5633802816901409,-0.6,-0.6339257264658479,12,0.0,0.0,2.0
222,0.0,0.624,0.0,0.0,0.5,-0.0636042402826855,0.8134734849354097,1.0,0.8,0.06340984658694372,0.676056338028169,-0.4,-0.39140971069315594,12,1.0,0.0,4.0
223,0.0,-0.656,0.0,0.0,0.0,-0.5865724381625441,-1.0548205294209967,-0.2857142857142857,-0.4,-0.08448913009771084,-0.6197183098591549,-0.6,-0.6339257264658479,12,0.0,0.0,2.0
224,1.0,-0.528,1.0,0.0,1.0,0.17667844522968199,1.65957012242297,1.5714285714285714,1.6,0.1953455805839964,-0.28169014084507044,-0.5,-0.6339257264658479,11,2.0,0.0,1.0
225,0.0,0.112,0.0,0.0,1.0,0.17667844522968199,2.092927557487203,0.2857142857142857,0.4,0.3421263712424719,-0.5633802816901409,-0.5,-0.6339257264658479,12,2.0,0.0,4.0
226,0.0,-0.656,0.0,0.0,0.0,-0.5865724381625441,-1.8214894072782013,-0.5714285714285714,-0.4,-0.9523407111917871,-0.8450704225352113,-0.6,-0.6339257264658479,13,0.0,0.0,3.0
227,0.0,-0.656,0.0,0.0,0.0,-0.5865724381625441,-1.940060644421598,-0.7142857142857143,-0.6,-0.9523407111917871,-0.8450704225352113,-0.6,-0.6339257264658479,12,0.0,0.0,4.0
